"Time","ChatGpt"
"2021-04-01",0
"2021-05-01",0
"2021-06-01",0
"2021-07-01",0
"2021-08-01",0
"2021-09-01",0
"2021-10-01",0
"2021-11-01",0
"2021-12-01",0
"2022-01-01",0
"2022-02-01",0
"2022-03-01",0
"2022-04-01",0
"2022-05-01",0
"2022-06-01",0
"2022-07-01",0
"2022-08-01",0
"2022-09-01",0
"2022-10-01",0
"2022-11-01",0
"2022-12-01",4
"2023-01-01",9
"2023-02-01",17
"2023-03-01",21
"2023-04-01",23
"2023-05-01",23
"2023-06-01",21
"2023-07-01",17
"2023-08-01",17
"2023-09-01",21
"2023-10-01",24
"2023-11-01",25
"2023-12-01",23
"2024-01-01",23
"2024-02-01",25
"2024-03-01",26
"2024-04-01",27
"2024-05-01",29
"2024-06-01",27
"2024-07-01",23
"2024-08-01",30
"2024-09-01",40
"2024-10-01",45
"2024-11-01",51
"2024-12-01",49
"2025-01-01",50
"2025-02-01",58
"2025-03-01",65
"2025-04-01",82
"2025-05-01",81
"2025-06-01",81
"2025-07-01",84
"2025-08-01",91
"2025-09-01",98
"2025-10-01",100
"2025-11-01",96
"2025-12-01",81
"2026-01-01",85
"2026-02-01",85
"2026-03-01",85
"2026-04-01",77
